Number of Rounds,History,Co-op Payoff,Defect Positive Payoff,Defect Negative Payoff,Model Action
7,"[('D', 'C', 11, 0), ('C', 'D', 0, 11)]",10,11,2,D
7,"[('D', 'C', 11, 0), ('C', 'D', 0, 11), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'C', 11, 0), ('C', 'D', 0, 11), ('D', 'D', 2, 2), ('D', 'C', 11, 0)]",10,11,2,D
7,"[('D', 'C', 11, 0), ('C', 'D', 0, 11), ('D', 'D', 2, 2), ('D', 'C', 11, 0), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'C', 11, 0), ('C', 'D', 0, 11), ('D', 'D', 2, 2), ('D', 'C', 11, 0), ('D', 'D', 2, 2), ('D', 'C', 11, 0)]",10,11,2,D
7,[],10,11,2,D
7,"[('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2)]",10,11,2,C
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('C', 'D', 0, 11)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('C', 'D', 0, 11), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('C', 'D', 0, 11), ('D', 'D', 2, 2), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('C', 'D', 0, 11), ('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'D', 2, 2)]",10,11,2,D
